Date,Open,High,Low,Close,Adj Close,Volume
2001-04-03,12.965486,12.965486,12.216167,12.447775,7.633327,21428983
2001-04-04,12.447775,12.715713,11.889192,12.465940,7.644471,17043040
2001-04-05,13.169846,14.141689,13.169846,13.973660,8.569041,14525053
2001-04-06,13.614896,13.614896,12.947321,13.056312,8.006496,17064179
2001-04-09,13.056312,13.760218,12.888283,12.942779,7.936876,13744444
2001-04-10,13.133515,13.737511,13.133515,13.546776,8.307266,20559854
2001-04-11,13.546776,14.282470,13.405995,13.737511,8.424228,16054121
2001-04-12,13.737511,13.941871,13.465032,13.905540,8.527269,11067252
2001-04-16,13.796549,13.796549,13.401453,13.619437,8.351824,9565268
2001-04-17,13.619437,13.828338,12.688465,13.283379,8.145741,16886477
2001-04-18,13.564941,15.440509,13.564941,14.486830,8.883736,33264953
2001-04-19,14.486830,14.850136,13.623978,14.759310,9.050829,30061704
2001-04-20,14.759310,14.804723,14.091735,14.396004,8.828038,17860422
2001-04-23,14.087193,14.087193,13.742053,14.059946,8.621960,11272038
2001-04-24,14.059946,14.191644,13.169846,13.360581,8.193084,14941231
2001-04-25,13.360581,13.501362,12.970027,13.260672,8.131815,14562266
2001-04-26,13.260672,13.351499,12.693006,12.693006,7.783705,17040838
2001-04-27,12.752044,13.056312,12.752044,12.892825,7.906246,11383019
2001-04-30,12.892825,13.324251,12.765668,12.910990,7.917381,13099918
2001-05-01,12.910990,12.988193,12.579473,12.920073,7.922956,15534229
2001-05-02,12.920073,13.283379,12.833787,13.010899,7.978652,16862696
2001-05-03,12.870118,12.870118,12.429609,12.520436,7.677884,18706430
2001-05-04,12.520436,12.647593,12.261580,12.597639,7.725227,15239161
2001-05-07,12.597639,12.942779,12.379655,12.565849,7.705730,12885003
2001-05-08,12.565849,12.738420,12.202543,12.411444,7.611047,13945927
2001-05-09,12.411444,12.415985,12.084469,12.261580,7.519147,14751198
2001-05-10,12.261580,12.574932,12.057221,12.070845,7.402182,11462291
2001-05-11,12.070845,12.261580,11.762035,11.893733,7.293573,12187409
2001-05-14,11.839237,11.839237,11.353315,11.762035,7.212812,14552578
2001-05-15,11.762035,11.762035,11.398728,11.534968,7.073568,15644990
2001-05-16,11.534968,12.606721,11.407811,12.143506,7.446739,19811394
2001-05-17,12.643052,14.078111,12.643052,14.032698,8.605247,66693736
2001-05-18,13.669391,13.669391,13.083560,13.555858,8.312835,23008478
2001-05-21,13.555858,14.055404,13.215259,13.964578,8.563474,17634277
2001-05-22,13.964578,14.246140,13.760218,13.987284,8.577395,15779532
2001-05-23,13.987284,14.073569,13.396912,13.433243,8.237644,14333038
2001-05-24,13.433243,13.760218,13.374205,13.664850,8.379673,9172871
2001-05-25,13.664850,13.714805,13.578565,13.646685,8.368531,9173312
2001-05-29,13.646685,13.828338,13.401453,13.719346,8.413088,13879426
